vendor_id,name,logo_path,website_url,short_description,long_description,target_segments,complexity,g2_rating,g2_reviews_count,g2_url,g2_last_checked,capterra_rating,capterra_reviews_count,capterra_url,capterra_last_checked,pricing_model,starting_price_bucket,pricing_notes,strength_tags,weakness_tags,industries,supported_goals,channels,integrations,governance_features,country,last_updated,is_brevo
brevo,Brevo,/logos/brevo.svg,https://www.brevo.com,"All-in-one marketing platform with email SMS WhatsApp and automation capabilities.","Brevo (formerly Sendinblue) is a comprehensive marketing platform that combines email marketing SMS campaigns WhatsApp messaging and marketing automation in one integrated solution. Founded in France in 2012 it offers a freemium model with GDPR-compliant EU hosting.",SMB|MM,light,4.5,2847,https://www.g2.com/products/brevo-marketing-platform/reviews,2025-01-15,4.6,2156,https://www.capterra.com/p/132996/brevo/,2025-01-15,contacts,low,Free tier available with 300 emails/day,omnichannel|ease-of-use|value|automation|sms|whatsapp,advanced-automation|enterprise-features,E-commerce|SaaS|Services|General,Acquisition|Activation|Retention|Omnichannel,email|sms|whatsapp|push,Salesforce|Shopify|WooCommerce|WordPress,GDPR|EU-hosting,France,2025-01-15,true
splio,Splio,/logos/splio.svg,https://www.splio.com,"Marketing automation and CRM loyalty platform for retail and mid-market.","Splio is a French marketing automation platform focused on CRM and customer loyalty programs. It specializes in retail and loyalty marketing with strong automation capabilities for customer retention.",MM|ENT,medium,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,loyalty|crm|retail|automation|local-support,dated-interface|learning-curve|limited-international,E-commerce|Retail,Retention|CRM,email|sms,API-integrations,GDPR|EU-hosting,France,2025-01-15,false
actito,Actito,/logos/actito.svg,https://www.actito.com,"B2C and B2B marketing automation with automated scenarios and CRM marketing.","Actito is a Belgian marketing automation platform serving both B2C and B2B markets. It offers advanced automated scenarios scoring and CRM marketing capabilities with EU hosting compliance.",SMB|MM,medium,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,feature-rich|responsive-support|fast-implementation,complex-ux|limited-integrations|limited-international,E-commerce|Services|General,Acquisition|Activation|Retention,email|sms,Salesforce|MS-Dynamics,GDPR|EU-hosting,Belgium,2025-01-15,false
emarsys,SAP Emarsys,/logos/emarsys.svg,https://www.emarsys.com,"Omnichannel automation platform specialized in retail and e-commerce.","SAP Emarsys is an enterprise-grade omnichannel marketing automation platform specializing in retail and e-commerce. It offers AI-powered recommendations personalization and supports large data volumes.",MM|ENT,medium,4.2,1500,https://www.g2.com/products/sap-emarsys-customer-engagement/reviews,2025-01-15,4.5,800,https://www.capterra.com/p/114467/Emarsys/,2025-01-15,custom,enterprise,Pricing on request,ecommerce|segmentation|ai-recommendations|omnichannel|high-volume,technical-interface|complex-integration|expensive,E-commerce|Retail,Retention|Omnichannel,email|sms|push,Salesforce|SAP|Magento|Shopify,GDPR|EU-hosting,Austria,2025-01-15,false
braze,Braze,/logos/braze.svg,https://www.braze.com,"Cross-channel marketing platform focused on mobile-first and in-app engagement.","Braze is a US-based enterprise marketing platform specializing in mobile-first cross-channel engagement. It excels at push notifications in-app messaging and real-time behavioral segmentation.",MM|ENT,heavy,4.5,1200,https://www.g2.com/products/braze/reviews,2025-01-15,4.7,600,https://www.capterra.com/p/174187/Braze/,2025-01-15,custom,enterprise,Starting around $60k/year,mobile|push|in-app|real-time|segmentation|support,steep-learning-curve|no-native-email|expensive,SaaS|E-commerce|Mobile,Activation|Retention|Omnichannel,email|sms|push|in-app,Segment|Snowflake,EU-option,United States,2025-01-15,false
np6,NP6,/logos/np6.svg,https://www.np6.com,"Email marketing and CDP platform focused on data marketing and deliverability.","NP6 is a French email marketing and CDP platform known for excellent deliverability and data marketing expertise. It serves mid-market companies primarily in France.",MM,light,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,deliverability|data-marketing|french-support,dated-interface|limited-innovation|closed-ecosystem,General|Services,Retention,email|sms,API-integrations,GDPR|France-hosting,France,2025-01-15,false
selligent,Selligent Marketing Cloud,/logos/selligent.svg,https://www.selligent.com,"Omnichannel marketing platform with unified customer database for B2C and retail.","Selligent (now Marigold) is a Belgian omnichannel marketing platform offering unified customer database and multi-channel campaign management. It serves mid-market and enterprise B2C companies.",MM|ENT,medium,4.0,400,https://www.g2.com/products/selligent-marketing-cloud/reviews,2025-01-15,4.2,300,https://www.capterra.com/p/86369/Selligent-Marketing-Cloud/,2025-01-15,custom,enterprise,Pricing on request,omnichannel|unified-database|good-deliverability|intuitive-editor,heavy-implementation|limited-analytics|small-community,E-commerce|Retail,Retention|Omnichannel,email|sms|push,Salesforce|MS-Dynamics,GDPR|EU-hosting,Belgium,2025-01-15,false
salesforce-marketing-cloud,Salesforce Marketing Cloud,/logos/sfmc.svg,https://www.salesforce.com/marketing-cloud/,"Complete enterprise marketing cloud suite with email mobile advertising and personalization.","Salesforce Marketing Cloud is a comprehensive enterprise marketing suite covering email mobile advertising social and personalization. It integrates natively with Salesforce CRM and offers Einstein AI capabilities.",ENT,heavy,4.0,3000,https://www.g2.com/products/salesforce-marketing-cloud/reviews,2025-01-15,4.2,2000,https://www.capterra.com/p/131807/Marketing-Cloud/,2025-01-15,custom,enterprise,Starting around $1000+/month,powerful|complete|einstein-ai|salesforce-integration,complex|expensive|long-deployment,E-commerce|SaaS|Services|Enterprise,Acquisition|Activation|Retention|CRM|Omnichannel,email|sms|push|social|advertising,Salesforce-CRM|MS-Dynamics,GDPR|EU-hosting-available,United States,2025-01-15,false
adobe-campaign,Adobe Campaign,/logos/adobe-campaign.svg,https://www.adobe.com/marketing-cloud/campaign.html,"Cross-channel campaign management with advanced targeting and database management.","Adobe Campaign (formerly Neolane) is an enterprise campaign management platform offering advanced targeting workflows and database management. It excels at complex cross-channel campaigns for large organizations.",ENT,heavy,3.9,800,https://www.g2.com/products/adobe-campaign/reviews,2025-01-15,4.1,500,https://www.capterra.com/p/168778/Adobe-Campaign/,2025-01-15,custom,enterprise,Pricing on request,powerful-campaigns|flexible|large-databases,non-intuitive|complex-setup|variable-support,Enterprise|E-commerce,Retention|Omnichannel,email|sms,Salesforce|MS-Dynamics,GDPR|Adobe-EU,France,2025-01-15,false
scale,Scal-e,/logos/scale.svg,https://www.scal-e.com,"CDP and marketing automation platform for customer data personalization.","Scal-e is a French CDP and marketing automation platform focused on customer data consolidation and personalized campaign activation. It serves mid-market and enterprise data-driven companies.",MM|ENT,medium,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,unified-data|personalization|responsive-support,young-platform|limited-notoriety|limited-integrations,E-commerce|Services,Retention,email,API-CDP,GDPR|France-hosting,France,2025-01-15,false
1by1,1by1,/logos/1by1.svg,https://www.1by1.io,"Personalized 1-to-1 marketing platform with datamart and campaign capabilities.","1by1 is a French marketing platform specializing in hyper-personalized one-to-one marketing. It offers datamart capabilities and individual campaign personalization for targeted engagement.",MM,medium,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,hyper-personalization|marketing-consulting|high-roi,niche-positioning|minimal-interface|limited-features,E-commerce|Retail,Retention,email,API-integrations,GDPR|EU-hosting,France,2025-01-15,false
pardot,Salesforce Pardot,/logos/pardot.svg,https://www.salesforce.com/products/marketing-cloud/account-engagement,"B2B marketing automation integrated with Salesforce CRM for lead nurturing and scoring.","Salesforce Pardot (Account Engagement) is a B2B marketing automation platform fully integrated with Salesforce CRM. It offers lead nurturing scoring and Einstein AI capabilities for sales and marketing alignment.",MM|ENT,medium,3.9,2500,https://www.g2.com/products/pardot/reviews,2025-01-15,4.1,1800,https://www.capterra.com/p/126901/Pardot/,2025-01-15,custom,high,Starting at $1250/month,salesforce-integration|b2b-automation|lead-scoring|enterprise-security,expensive|dated-interface|learning-curve,SaaS|Services|B2B,Acquisition|Activation|CRM,email|whatsapp,Salesforce-CRM,GDPR|Salesforce-EU,United States,2025-01-15,false
hubspot,HubSpot Marketing Hub,/logos/hubspot.svg,https://www.hubspot.com/products/marketing,"CRM and all-in-one marketing platform with inbound content and automation.","HubSpot Marketing Hub is an all-in-one inbound marketing software combining CRM content management and marketing automation. It offers an intuitive interface and comprehensive educational resources.",SMB|MM|ENT,medium,4.5,12456,https://www.g2.com/products/hubspot-marketing-hub/reviews,2025-01-15,4.5,6234,https://www.capterra.com/p/134174/HubSpot-Marketing-Hub/,2025-01-15,contacts,low,Starting at $9/month Starter plan,intuitive-interface|all-in-one|visual-workflows|academy|support,pricing-at-scale|features-gated|limited-reporting,SaaS|Services|E-commerce|General,Acquisition|Activation|Retention|CRM,email|sms,Salesforce|MS-Dynamics|Shopify,GDPR|EU-hosting-available,United States,2025-01-15,false
dolist,Dolist,/logos/dolist.svg,https://www.dolist.com,"Email marketing and automation platform specialized in deliverability.","Dolist is a French email marketing platform known for excellent deliverability expertise. It offers basic automation capabilities and personalized support for PME and mid-market companies.",SMB|MM,light,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,deliverability-expertise|local-support|simplicity,limited-automation|dated-interface|limited-international,General|Services,Retention,email,Custom-integrations,GDPR|France-hosting,France,2025-01-15,false
dialog-insight,Dialog Insight,/logos/dialog-insight.svg,https://www.dialoginsight.com,"Marketing automation and emailing platform for B2C and B2B markets.","Dialog Insight is a Canadian marketing automation platform serving B2C and B2B markets. It offers bilingual support (French/English) easy segmentation and good value for SMBs.",SMB|MM,light,0,0,,2025-01-15,0,0,,2025-01-15,custom,enterprise,Pricing on request,bilingual-support|easy-segmentation|value,slow-updates|missing-integrations|basic-reporting,General|Services,Retention,email|sms,API-integrations,GDPR|Canada-EU,Canada,2025-01-15,false
